Cities Weather,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saskylakh,20,RU,1532300049,87,71.97,114.09,42.06,9.42
1,cape town,0,ZA,1532296800,62,-33.93,18.42,59.0,9.17
2,dikson,36,RU,1532299845,100,73.51,80.55,38.55,13.67
3,codrington,0,AU,1532299955,79,-28.95,153.24,56.28,3.6
4,praya,40,ID,1532298600,94,-8.71,116.27,75.2,6.93
5,mataura,92,NZ,1532300049,100,-46.19,168.86,43.68,8.97
6,ponta do sol,32,BR,1532300050,62,-20.63,-46.0,61.32,5.61
7,clyde river,40,CA,1532296800,50,70.47,-68.59,53.6,16.11
8,barda,0,RU,1532300050,85,56.93,55.59,45.21,2.26
9,yellowknife,75,CA,1532296800,40,62.45,-114.38,68.0,14.99
10,chuy,92,UY,1532300051,89,-33.69,-53.46,49.71,7.96
11,butaritari,64,KI,1532300051,100,3.07,172.79,82.02,4.94
12,torbay,90,CA,1532299080,100,47.66,-52.73,66.2,23.04
13,great yarmouth,0,GB,1532298000,77,52.61,1.73,64.4,8.05
14,puerto lempira,24,HN,1532300052,83,15.27,-83.77,80.31,6.73
15,lorengau,44,PG,1532299959,100,-2.02,147.27,82.83,8.97
16,ocho rios,75,JM,1532296800,74,18.41,-77.1,86.0,17.22
17,lasa,0,CY,1532298600,83,34.92,32.53,82.4,2.24
18,tuy hoa,44,VN,1532300052,75,13.08,109.3,84.9,19.04
19,hami,8,CN,1532300053,33,42.84,93.51,74.46,10.2
20,ushuaia,40,AR,1532296800,69,-54.81,-68.31,37.4,3.36
21,kiama,0,AU,1532296800,65,-34.67,150.86,41.0,8.05
22,provideniya,90,RU,1532296800,87,64.42,-173.23,51.8,4.47
23,kapaa,40,US,1532296560,74,22.08,-159.32,82.4,17.22
24,jamestown,80,AU,1532299795,42,-33.21,138.6,56.37,20.15
25,hermanus,0,ZA,1532299801,35,-34.42,19.24,67.8,7.63
26,urucui,12,BR,1532300054,41,-7.23,-44.56,81.66,8.86
27,pisco,0,PE,1532296800,77,-13.71,-76.2,66.2,6.93
28,avarua,75,CK,1532296800,78,-21.21,-159.78,78.8,6.93
29,ancud,92,CL,1532300055,88,-41.87,-73.83,41.97,4.16
30,hobart,75,AU,1532298600,61,-42.88,147.33,50.0,10.29
31,evanston,75,US,1532299320,83,42.04,-87.69,75.2,8.05
32,iqaluit,20,CA,1532296800,39,63.75,-68.52,62.6,11.41
33,santa maria,40,BR,1532296800,87,-29.69,-53.81,53.6,2.24
34,nacogdoches,1,US,1532298900,29,31.6,-94.66,102.2,4.05
35,ovalle,0,CL,1532299814,75,-30.6,-71.2,42.69,4.16
36,nikolskoye,24,RU,1532296800,100,59.7,30.79,66.2,2.24
37,stavrovo,8,RU,1532300057,74,56.13,40.01,67.26,12.21
38,yulara,90,AU,1532296800,30,-25.24,130.99,57.2,8.05
39,hithadhoo,92,MV,1532299794,100,-0.6,73.08,74.91,4.61
40,altay,0,CN,1532300058,63,47.83,88.13,50.25,4.38
41,carnarvon,0,ZA,1532300058,49,-30.97,22.13,47.46,13.11
42,surt,0,LY,1532300058,100,31.21,16.59,74.01,6.73
43,luderitz,44,NA,1532300058,61,-26.65,15.16,60.06,6.51
44,northam,0,GB,1532298000,88,51.04,-4.21,68.0,3.36
45,faanui,24,PF,1532300059,100,-16.48,-151.75,79.32,12.21
46,port alfred,0,ZA,1532300059,54,-33.59,26.89,70.77,12.21
47,belyy yar,48,RU,1532296800,88,53.6,91.39,62.6,4.47
48,ola,68,RU,1532300059,86,59.58,151.3,59.34,2.15
49,albany,75,US,1532296500,54,42.65,-73.75,84.2,12.75
50,rayong,20,TH,1532298600,74,12.68,101.28,82.4,4.7
51,arraial do cabo,20,BR,1532296800,94,-22.97,-42.02,68.0,3.38
52,geraldton,20,CA,1532296800,44,49.72,-86.95,77.0,9.17
53,biak,56,ID,1532300060,100,-0.91,122.88,74.91,4.72
54,east london,0,ZA,1532299807,94,-33.02,27.91,69.87,13.22
55,port hardy,20,CA,1532296800,77,50.7,-127.42,60.8,10.29
56,qaqortoq,20,GL,1532296200,51,60.72,-46.03,59.0,4.7
